disease,symptoms,description,precautions,medications,followup_questions
Dengue Fever,"high fever, severe headache, pain behind eyes, joint and muscle pain, rash, mild bleeding from gums or nose, fatigue, nausea","Dengue fever is a mosquito-borne viral disease. Severe dengue can be life-threatening. It is prevalent in tropical and subtropical climates worldwide, particularly in urban areas.","Seek medical attention promptly|Use mosquito repellent|Rest and stay hydrated|Monitor platelet count|Avoid NSAIDs like aspirin","Paracetamol for fever (avoid ibuprofen and aspirin)|ORS for hydration|Platelet transfusion if needed (hospital)|Regular blood monitoring","Have you recently traveled to a tropical area?|Do you have a rash on your body?|Have you noticed any unusual bleeding?|What is your platelet count?"
Malaria,"cyclical fever and chills, sweating, headache, nausea, vomiting, muscle pain, fatigue, anemia symptoms","Malaria is a life-threatening disease caused by Plasmodium parasites transmitted through infected Anopheles mosquitoes. Symptoms typically appear 10–15 days after the infective mosquito bite.","Take antimalarial prophylaxis when traveling|Use insecticide-treated bed nets|Apply mosquito repellent|Wear long sleeves and pants in evenings|Drain stagnant water near home","Antimalarial drugs (prescription required - Chloroquine, Artemisinin)|Paracetamol for fever|Seek immediate medical care|IV fluids if severe","Have you recently visited a malaria-endemic area?|Do you have recurring cycles of fever and chills?|Have you taken any malaria prevention medications?|Do you have severe headache with fever?"
Urinary Tract Infection (UTI),"burning sensation during urination, frequent urge to urinate, cloudy or foul-smelling urine, pelvic pain, low-grade fever, blood in urine","A UTI is an infection in any part of the urinary system including kidneys, bladder, or urethra. Most infections involve the lower urinary tract. Women are at greater risk than men.","Drink plenty of water|Urinate after intercourse|Wipe front to back|Avoid holding urine for long periods|Wear cotton underwear","Cranberry juice or supplements|Increase water intake|Phenazopyridine for pain relief|Antibiotics required (prescription needed)","Is there pain or burning when you urinate?|Is your urine cloudy or has blood?|Do you have lower abdominal pain?|How frequently are you urinating?"
Skin Allergy,"skin rash, redness, itching, swelling, hives, dry skin, blisters, eczema patches, contact dermatitis","Skin allergies occur when the immune system reacts to a foreign substance. Common triggers include foods, medications, latex, metals, and environmental allergens. Reactions can range from mild to severe.","Identify and avoid triggers|Keep skin moisturized|Avoid scratching|Use hypoallergenic products|Wear loose cotton clothing","Antihistamines like Cetirizine or Loratadine|Hydrocortisone cream for local application|Calamine lotion for itching|Moisturizer for dry skin|See dermatologist if severe","What were you exposed to before the rash appeared?|Do you have known allergies?|Is the itching severe?|Have you used any new products recently?"
Anemia,"fatigue, weakness, pale skin, shortness of breath, dizziness, cold hands and feet, chest pain, headache, brittle nails","Anemia is a condition where there are insufficient healthy red blood cells to carry adequate oxygen to body tissues. Iron deficiency is the most common cause globally, affecting especially women and children.","Eat iron-rich foods like leafy greens and meat|Take iron supplements as prescribed|Include Vitamin C to improve iron absorption|Avoid tea or coffee with meals|Get regular blood tests","Iron supplements (Ferrous Sulfate)|Vitamin B12 supplements if B12 deficiency|Folic acid supplements|Vitamin C supplements|Dietary modifications","How long have you been feeling fatigued?|Have you had a recent blood test?|Do you follow a vegetarian or vegan diet?|Have you noticed pale skin or gums?"
Arthritis,"joint pain, joint stiffness, swelling around joints, reduced range of motion, redness around joints, warmth in joints, fatigue","Arthritis is inflammation of one or more joints causing pain and stiffness. Osteoarthritis involves cartilage breakdown; rheumatoid arthritis is autoimmune. Both worsen with age.","Exercise gently and regularly|Maintain healthy weight|Use hot or cold therapy|Use joint protection techniques|Rest affected joints","Ibuprofen or Naproxen for pain|Glucosamine and Chondroitin supplements|Topical analgesic creams|Prescription DMARDs for rheumatoid (doctor needed)|Physical therapy","Which joints are affected?|Is the stiffness worse in the morning?|Does the pain improve with movement?|Do you have swelling or warmth in the joints?"
Depression,"persistent sadness, loss of interest, fatigue, changes in sleep, changes in appetite, difficulty concentrating, feelings of hopelessness, thoughts of self-harm","Depression is a common and serious medical illness affecting how one feels, thinks, and handles daily activities. It is more than just feeling sad; it significantly impairs daily functioning and quality of life.","Seek professional mental health support immediately|Maintain social connections|Exercise regularly|Establish a regular sleep routine|Avoid alcohol and substances","Speak with a psychiatrist before any medication|Exercise as natural mood booster|Structured daily routine|Omega-3 fatty acids|Mindfulness and therapy are primary treatments","How long have you been feeling this way?|Are you having thoughts of harming yourself?|Have you lost interest in activities you used to enjoy?|Are you getting enough sleep?"
Anxiety Disorder,"excessive worry, restlessness, fatigue, difficulty concentrating, irritability, muscle tension, sleep disturbances, panic attacks, rapid heartbeat","Anxiety disorders involve excessive fear or worry that is difficult to control. They include generalized anxiety disorder, panic disorder, and social anxiety. They are among the most common mental health conditions.","Practice breathing and relaxation techniques|Limit caffeine and alcohol|Exercise regularly|Seek therapy and counseling|Maintain social support network","Consult mental health professional first|Chamomile tea for mild relaxation|Exercise for natural anxiety reduction|Omega-3 and Magnesium supplements|CBT therapy is most effective treatment","How often do you experience anxiety?|Do you have panic attacks?|What situations trigger your anxiety?|How is it affecting your daily life?"
Typhoid Fever,"sustained high fever, weakness, abdominal pain, headache, diarrhea or constipation, loss of appetite, rose-colored spots on torso","Typhoid fever is a bacterial infection caused by Salmonella typhi, spread through contaminated food and water. It can be life-threatening if untreated. Common in developing regions with poor sanitation.","Drink only safe purified water|Practice strict hand hygiene|Eat properly cooked foods|Get typhoid vaccination|Seek medical care promptly","Antibiotics (prescription required - Ciprofloxacin, Azithromycin)|Paracetamol for fever|ORS for hydration|Nutritional support|Bed rest essential","How long have you had high fever?|Have you traveled recently?|Do you have abdominal pain?|Have you eaten outside food or unclean water?"
Chickenpox,"itchy red spots developing into blisters, fever, fatigue, loss of appetite, headache, blisters all over body including face and scalp","Chickenpox is a highly contagious infection caused by the varicella-zoster virus. It causes an itchy, blister-like rash covering the body. Most common in children but can occur in adults.","Isolate until all blisters have crusted|Avoid scratching blisters|Keep skin clean and nails short|Use calamine lotion for itching|Seek care if symptoms are severe","Calamine lotion for itching|Paracetamol for fever (avoid aspirin in children)|Antiviral medication if prescribed early|Antihistamine for itching|Keep lesions clean to prevent infection","Is this the first time you have had chickenpox?|Have you been vaccinated against chickenpox?|Are there blisters inside your mouth?|Do you have a weakened immune system?"
